Id,ActivityDate,Month,Weekday,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Total Active minutes,total minutes_measures
1503960366,04-12-2016,Apr,Tuesday,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,366,1094
1503960366,04-13-2016,Apr,Wednesday,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797,257,1033
1503960366,04-14-2016,Apr,Thursday,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776,222,1440
1503960366,04-15-2016,Apr,Friday,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,272,998
1503960366,04-16-2016,Apr,Saturday,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863,267,1040
1503960366,04-17-2016,Apr,Sunday,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728,222,761
1503960366,04-18-2016,Apr,Monday,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233,1149,1921,291,1440
1503960366,04-19-2016,Apr,Tuesday,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,345,1120
1503960366,04-20-2016,Apr,Wednesday,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786,245,1063
1503960366,04-21-2016,Apr,Thursday,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,238,1076
1503960366,04-22-2016,Apr,Friday,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,223,1440
1503960366,04-23-2016,Apr,Saturday,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949,324,1056
1503960366,04-24-2016,Apr,Sunday,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788,282,991
1503960366,04-25-2016,Apr,Monday,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013,303,1117
1503960366,04-26-2016,Apr,Tuesday,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970,333,1166
1503960366,04-27-2016,Apr,Wednesday,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159,332,1440
1503960366,04-28-2016,Apr,Thursday,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,265,1047
1503960366,04-29-2016,Apr,Friday,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,271,1086
