Id,ActivityHour,Hour,TotalIntensity,AverageIntensity
1503960366,04-12-2016 00:00,00:00,20,0.333333
1503960366,04-12-2016 01:00,01:00,8,0.133333
1503960366,04-12-2016 02:00,02:00,7,0.116667
1503960366,04-12-2016 03:00,03:00,0,0
1503960366,04-12-2016 04:00,04:00,0,0
1503960366,04-12-2016 05:00,05:00,0,0
1503960366,04-12-2016 06:00,06:00,0,0
1503960366,04-12-2016 07:00,07:00,0,0
1503960366,04-12-2016 08:00,08:00,13,0.216667
1503960366,04-12-2016 09:00,09:00,30,0.5
1503960366,04-12-2016 10:00,10:00,29,0.483333
1503960366,04-12-2016 11:00,11:00,12,0.2
1503960366,04-12-2016 12:00,12:00,11,0.183333
1503960366,04-12-2016 13:00,13:00,6,0.1
1503960366,04-12-2016 14:00,14:00,36,0.6
1503960366,04-12-2016 15:00,15:00,58,0.966667
1503960366,04-12-2016 16:00,16:00,13,0.216667
1503960366,04-12-2016 17:00,17:00,16,0.266667
1503960366,04-12-2016 18:00,18:00,29,0.483333
1503960366,04-12-2016 19:00,19:00,39,0.65
1503960366,04-12-2016 20:00,20:00,41,0.683333
1503960366,04-12-2016 21:00,21:00,31,0.516667
1503960366,04-12-2016 22:00,22:00,9,0.15
1503960366,04-12-2016 23:00,23:00,21,0.35
1503960366,04-13-2016 00:00,00:00,14,0.233333
1503960366,04-13-2016 01:00,01:00,0,0
1503960366,04-13-2016 02:00,02:00,0,0
1503960366,04-13-2016 03:00,03:00,4,0.066667
1503960366,04-13-2016 04:00,04:00,0,0
1503960366,04-13-2016 05:00,05:00,0,0
1503960366,04-13-2016 06:00,06:00,0,0
1503960366,04-13-2016 07:00,07:00,8,0.133333
1503960366,04-13-2016 08:00,08:00,12,0.2
1503960366,04-13-2016 09:00,09:00,27,0.45
1503960366,04-13-2016 10:00,10:00,15,0.25
1503960366,04-13-2016 11:00,11:00,16,0.266667
1503960366,04-13-2016 12:00,12:00,15,0.25
1503960366,04-13-2016 13:00,13:00,10,0.166667
1503960366,04-13-2016 14:00,14:00,46,0.766667
1503960366,04-13-2016 15:00,15:00,13,0.216667
1503960366,04-13-2016 16:00,16:00,10,0.166667
1503960366,04-13-2016 17:00,17:00,23,0.383333
1503960366,04-13-2016 18:00,18:00,25,0.416667
1503960366,04-13-2016 19:00,19:00,13,0.216667
1503960366,04-13-2016 20:00,20:00,0,0
1503960366,04-13-2016 21:00,21:00,0,0
1503960366,04-13-2016 22:00,22:00,11,0.183333
1503960366,04-13-2016 23:00,23:00,56,0.933333
1503960366,04-14-2016 00:00,00:00,4,0.066667
1503960366,04-14-2016 01:00,01:00,3,0.05
1503960366,04-14-2016 02:00,02:00,0,0
1503960366,04-14-2016 03:00,03:00,0,0
1503960366,04-14-2016 04:00,04:00,0,0
1503960366,04-14-2016 05:00,05:00,0,0
1503960366,04-14-2016 06:00,06:00,0,0
1503960366,04-14-2016 07:00,07:00,0,0
1503960366,04-14-2016 08:00,08:00,0,0
1503960366,04-14-2016 09:00,09:00,14,0.233333
1503960366,04-14-2016 10:00,10:00,23,0.383333
1503960366,04-14-2016 11:00,11:00,7,0.116667
1503960366,04-14-2016 12:00,12:00,18,0.3
1503960366,04-14-2016 13:00,13:00,54,0.9
1503960366,04-14-2016 14:00,14:00,22,0.366667
1503960366,04-14-2016 15:00,15:00,7,0.116667
1503960366,04-14-2016 16:00,16:00,25,0.416667
1503960366,04-14-2016 17:00,17:00,5,0.083333
1503960366,04-14-2016 18:00,18:00,12,0.2
1503960366,04-14-2016 19:00,19:00,1,0.016667
1503960366,04-14-2016 20:00,20:00,24,0.4
1503960366,04-14-2016 21:00,21:00,57,0.95
1503960366,04-14-2016 22:00,22:00,17,0.283333
1503960366,04-14-2016 23:00,23:00,0,0
1503960366,04-15-2016 00:00,00:00,6,0.1
1503960366,04-15-2016 01:00,01:00,5,0.083333
1503960366,04-15-2016 02:00,02:00,7,0.116667
1503960366,04-15-2016 03:00,03:00,0,0
1503960366,04-15-2016 04:00,04:00,0,0
1503960366,04-15-2016 05:00,05:00,1,0.016667
1503960366,04-15-2016 06:00,06:00,0,0
1503960366,04-15-2016 07:00,07:00,1,0.016667
1503960366,04-15-2016 08:00,08:00,5,0.083333
1503960366,04-15-2016 09:00,09:00,2,0.033333
1503960366,04-15-2016 10:00,10:00,8,0.133333
1503960366,04-15-2016 11:00,11:00,23,0.383333
1503960366,04-15-2016 12:00,12:00,13,0.216667
1503960366,04-15-2016 13:00,13:00,9,0.15
1503960366,04-15-2016 14:00,14:00,0,0
1503960366,04-15-2016 15:00,15:00,0,0
1503960366,04-15-2016 16:00,16:00,0,0
1503960366,04-15-2016 17:00,17:00,47,0.783333
1503960366,04-15-2016 18:00,18:00,22,0.366667
1503960366,04-15-2016 19:00,19:00,32,0.533333
1503960366,04-15-2016 20:00,20:00,8,0.133333
1503960366,04-15-2016 21:00,21:00,14,0.233333
1503960366,04-15-2016 22:00,22:00,66,1.1
1503960366,04-15-2016 23:00,23:00,95,1.583333
1503960366,04-16-2016 00:00,00:00,15,0.25
1503960366,04-16-2016 01:00,01:00,0,0
1503960366,04-16-2016 02:00,02:00,3,0.05
1503960366,04-16-2016 03:00,03:00,1,0.016667
1503960366,04-16-2016 04:00,04:00,1,0.016667
1503960366,04-16-2016 05:00,05:00,1,0.016667
1503960366,04-16-2016 06:00,06:00,0,0
1503960366,04-16-2016 07:00,07:00,4,0.066667
1503960366,04-16-2016 08:00,08:00,9,0.15
1503960366,04-16-2016 09:00,09:00,38,0.633333
1503960366,04-16-2016 10:00,10:00,14,0.233333
1503960366,04-16-2016 11:00,11:00,30,0.5
1503960366,04-16-2016 12:00,12:00,42,0.7
1503960366,04-16-2016 13:00,13:00,90,1.5
1503960366,04-16-2016 14:00,14:00,20,0.333333
1503960366,04-16-2016 15:00,15:00,0,0
1503960366,04-16-2016 16:00,16:00,2,0.033333
1503960366,04-16-2016 17:00,17:00,17,0.283333
1503960366,04-16-2016 18:00,18:00,10,0.166667
1503960366,04-16-2016 19:00,19:00,12,0.2
1503960366,04-16-2016 20:00,20:00,19,0.316667
1503960366,04-16-2016 21:00,21:00,13,0.216667
1503960366,04-16-2016 22:00,22:00,3,0.05
1503960366,04-16-2016 23:00,23:00,5,0.083333
1503960366,04-17-2016 00:00,00:00,0,0
1503960366,04-17-2016 01:00,01:00,0,0
1503960366,04-17-2016 02:00,02:00,0,0
1503960366,04-17-2016 03:00,03:00,1,0.016667
1503960366,04-17-2016 04:00,04:00,0,0
1503960366,04-17-2016 05:00,05:00,0,0
1503960366,04-17-2016 06:00,06:00,0,0
1503960366,04-17-2016 07:00,07:00,0,0
1503960366,04-17-2016 08:00,08:00,0,0
1503960366,04-17-2016 09:00,09:00,0,0
1503960366,04-17-2016 10:00,10:00,0,0
1503960366,04-17-2016 11:00,11:00,9,0.15
1503960366,04-17-2016 12:00,12:00,18,0.3
1503960366,04-17-2016 13:00,13:00,23,0.383333
1503960366,04-17-2016 14:00,14:00,10,0.166667
1503960366,04-17-2016 15:00,15:00,13,0.216667
1503960366,04-17-2016 16:00,16:00,2,0.033333
1503960366,04-17-2016 17:00,17:00,71,1.183333
1503960366,04-17-2016 18:00,18:00,39,0.65
1503960366,04-17-2016 19:00,19:00,24,0.4
1503960366,04-17-2016 20:00,20:00,87,1.45
1503960366,04-17-2016 21:00,21:00,16,0.266667
1503960366,04-17-2016 22:00,22:00,5,0.083333
1503960366,04-17-2016 23:00,23:00,0,0
1503960366,04-18-2016 00:00,00:00,21,0.35
1503960366,04-18-2016 01:00,01:00,0,0
1503960366,04-18-2016 02:00,02:00,0,0
1503960366,04-18-2016 03:00,03:00,0,0
1503960366,04-18-2016 04:00,04:00,0,0
1503960366,04-18-2016 05:00,05:00,0,0
1503960366,04-18-2016 06:00,06:00,0,0
1503960366,04-18-2016 07:00,07:00,0,0
1503960366,04-18-2016 08:00,08:00,0,0
1503960366,04-18-2016 09:00,09:00,39,0.65
1503960366,04-18-2016 10:00,10:00,17,0.283333
1503960366,04-18-2016 11:00,11:00,15,0.25
1503960366,04-18-2016 12:00,12:00,40,0.666667
1503960366,04-18-2016 13:00,13:00,9,0.15
1503960366,04-18-2016 14:00,14:00,7,0.116667
1503960366,04-18-2016 15:00,15:00,14,0.233333
1503960366,04-18-2016 16:00,16:00,17,0.283333
1503960366,04-18-2016 17:00,17:00,18,0.3
1503960366,04-18-2016 18:00,18:00,114,1.9
1503960366,04-18-2016 19:00,19:00,30,0.5
1503960366,04-18-2016 20:00,20:00,2,0.033333
1503960366,04-18-2016 21:00,21:00,11,0.183333
1503960366,04-18-2016 22:00,22:00,19,0.316667
1503960366,04-18-2016 23:00,23:00,18,0.3
1503960366,04-19-2016 00:00,00:00,0,0
1503960366,04-19-2016 01:00,01:00,1,0.016667
1503960366,04-19-2016 02:00,02:00,0,0
1503960366,04-19-2016 03:00,03:00,2,0.033333
1503960366,04-19-2016 04:00,04:00,0,0
1503960366,04-19-2016 05:00,05:00,0,0
1503960366,04-19-2016 06:00,06:00,1,0.016667
1503960366,04-19-2016 07:00,07:00,19,0.316667
1503960366,04-19-2016 08:00,08:00,38,0.633333
1503960366,04-19-2016 09:00,09:00,16,0.266667
1503960366,04-19-2016 10:00,10:00,16,0.266667
1503960366,04-19-2016 11:00,11:00,13,0.216667
1503960366,04-19-2016 12:00,12:00,61,1.016667
1503960366,04-19-2016 13:00,13:00,65,1.083333
1503960366,04-19-2016 14:00,14:00,12,0.2
1503960366,04-19-2016 15:00,15:00,12,0.2
1503960366,04-19-2016 16:00,16:00,9,0.15
1503960366,04-19-2016 17:00,17:00,13,0.216667
1503960366,04-19-2016 18:00,18:00,30,0.5
1503960366,04-19-2016 19:00,19:00,31,0.516667
1503960366,04-19-2016 20:00,20:00,69,1.15
1503960366,04-19-2016 21:00,21:00,16,0.266667
1503960366,04-19-2016 22:00,22:00,4,0.066667
1503960366,04-19-2016 23:00,23:00,48,0.8
1503960366,04-20-2016 00:00,00:00,2,0.033333
1503960366,04-20-2016 01:00,01:00,2,0.033333
1503960366,04-20-2016 02:00,02:00,0,0
1503960366,04-20-2016 03:00,03:00,0,0
1503960366,04-20-2016 04:00,04:00,0,0
1503960366,04-20-2016 05:00,05:00,0,0
1503960366,04-20-2016 06:00,06:00,0,0
1503960366,04-20-2016 07:00,07:00,3,0.05
1503960366,04-20-2016 08:00,08:00,14,0.233333
1503960366,04-20-2016 09:00,09:00,50,0.833333
1503960366,04-20-2016 10:00,10:00,13,0.216667
1503960366,04-20-2016 11:00,11:00,1,0.016667
1503960366,04-20-2016 12:00,12:00,8,0.133333
1503960366,04-20-2016 13:00,13:00,5,0.083333
1503960366,04-20-2016 14:00,14:00,39,0.65
1503960366,04-20-2016 15:00,15:00,21,0.35
1503960366,04-20-2016 16:00,16:00,11,0.183333
1503960366,04-20-2016 17:00,17:00,2,0.033333
1503960366,04-20-2016 18:00,18:00,32,0.533333
1503960366,04-20-2016 19:00,19:00,36,0.6
1503960366,04-20-2016 20:00,20:00,12,0.2
1503960366,04-20-2016 21:00,21:00,22,0.366667
1503960366,04-20-2016 22:00,22:00,7,0.116667
1503960366,04-20-2016 23:00,23:00,33,0.55
1503960366,04-21-2016 00:00,00:00,2,0.033333
1503960366,04-21-2016 01:00,01:00,8,0.133333
1503960366,04-21-2016 02:00,02:00,5,0.083333
1503960366,04-21-2016 03:00,03:00,0,0
1503960366,04-21-2016 04:00,04:00,0,0
1503960366,04-21-2016 05:00,05:00,0,0
1503960366,04-21-2016 06:00,06:00,0,0
1503960366,04-21-2016 07:00,07:00,3,0.05
1503960366,04-21-2016 08:00,08:00,15,0.25
1503960366,04-21-2016 09:00,09:00,26,0.433333
1503960366,04-21-2016 10:00,10:00,16,0.266667
1503960366,04-21-2016 11:00,11:00,0,0
1503960366,04-21-2016 12:00,12:00,11,0.183333
1503960366,04-21-2016 13:00,13:00,25,0.416667
1503960366,04-21-2016 14:00,14:00,2,0.033333
1503960366,04-21-2016 15:00,15:00,8,0.133333
